S.No,inst_name,Rating,Category,Course,Infra,Faculty,District,State,Links,Placement %,ALP,Fee,Combined Score,Rank,FeeCategory,S links,Our Rating
70,"CHAITANYA BHARATHI INSTITUTE OF
 TECHNOLOGY",4.1,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Hyderabad,Telangana,https://www.cbit.ac.in/,90.0,30.0,54500,37.64,1.0,m,https://youtu.be/5FrpKQbSicA?si=rWsbLODeuR1KO5Pu,0.16363057040998213
223,"NADIMPALLI SATYANARAYANA RAJU
 INSTITUTE OF TECHNOLOGY",4.2,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Visakhapatnam,Andhra Pradesh,https://nsrit.edu.in/,99.0,3.2,40000,32.34,2.0,l,,n/a
81,"CHEBROLU HANUMAIAH INST. OF
 PHARM SCIENCES",4.3,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,VGood,Guntur,Andhra Pradesh,https://www.chips.ac.in/pages/index.php,95.0,4.5,59600,31.57,3.0,m,,n/a
53,BAPATLA ENGINEERING COLLEGE,4.2,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Guntur,Andhra Pradesh,http://becbapatla.ac.in/,95.0,4.5,84900,31.53,4.0,h,https://www.youtube.com/watch?v=leUeGFK9kFg,-0.027551020408163266
404,"VASIREDDY VENKATADRI INST. OF
 TECHNOLOGY",4.2,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Guntur,Andhra Pradesh,https://www.vvitguntur.com,93.0,4.3,65200,30.87,5.0,m,https://www.youtube.com/watch?v=2HVbhjMcVi4,0.01735232067510548
429,National Institute of Technology,4.2,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Cachar,Assam,http://www.nits.ac.in/,83.0,12.0,62500,30.18,6.0,m,https://www.youtube.com/watch?v=fLUgY-zvcvA,0.27151488095238097
700,Government College,4.8,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",VGood,VGood,Kasaragod,Kerala,https://gck.ac.in/,90.0,3.7,4000,30.03,7.0,vl,,n/a
796,Visvesvaraya National Institute of Technology (VNIT),4.1,AS,"{'ba', 'mcom', 'd.pharm', 'b.pharm', 'msc', 'm.pharm', 'ma', 'bcom', 'diploma', 'eee', 'cse', 'bsc', 'llb', 'mec', 'ece'}",VGood,VGood,Nagpur,Maharashtra,https://vnit.ac.in/,87.0,7.5,151000,29.99,8.0,vh,https://www.youtube.com/watch?v=OJBIWbKgxYQ,0.056249999999999994
533,Government Degree College,3.2,AS,"{'ba', 'mcom', 'msc', 'ma', 'bcom', 'bsc'}",Average,Good,Surajpur,Chhattisgarh,http://www.govtcollegesurajpur.ac.in/,93.0,2.5,17724,29.93,9.0,vl,,n/a
36,A S N PHARMACY COLLEGE,3.8,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,https://pharmaadmission.com/college/a-s-n-pharmacy-college,90.0,4.5,23000,29.87,10.0,vl,,n/a
